date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:03:36	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224e9f-5394623e11200%22	https://preview.locotheme.com/grandium-html/assets/fonts/glyphicons-halflings-regular.eot	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/fonts/glyphicons-halflings-regular.eot	(from https://preview.locotheme.com/grandium-html/assets/css/bootstrap.min.css)
19:03:36	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224e9f-5394623e11200%22	https://preview.locotheme.com/grandium-html/assets/fonts/glyphicons-halflings-regular.eot?	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/fonts/glyphicons-halflings-regulard41d.eot	(from https://preview.locotheme.com/grandium-html/assets/css/bootstrap.min.css)
19:03:36	18028/18028	---M--	200	added ('OK')	text/html	etag:%22466c-5394623e11200%22	https://preview.locotheme.com/grandium-html/assets/fonts/glyphicons-halflings-regular.woff2	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/fonts/glyphicons-halflings-regular.html	(from https://preview.locotheme.com/grandium-html/assets/css/bootstrap.min.css)
19:03:37	23424/23424	---M--	200	added ('OK')	application/font-woff	etag:%225b80-5394623e11200%22	https://preview.locotheme.com/grandium-html/assets/fonts/glyphicons-halflings-regular.woff	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/fonts/glyphicons-halflings-regular.woff	(from https://preview.locotheme.com/grandium-html/assets/css/bootstrap.min.css)
19:03:37	45404/45404	---M--	200	added ('OK')	application/font-sfnt	etag:%22b15c-5394623e11200%22	https://preview.locotheme.com/grandium-html/assets/fonts/glyphicons-halflings-regular.ttf	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/fonts/glyphicons-halflings-regular.ttf	(from https://preview.locotheme.com/grandium-html/assets/css/bootstrap.min.css)
19:03:37	70807/70807	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2211497-5394623e11200%22	https://preview.locotheme.com/grandium-html/assets/fonts/fontawesome-webfont.eot?v=4.5.0	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/fonts/fontawesome-webfont3295.eot	(from https://preview.locotheme.com/grandium-html/assets/css/font.awesome.min.css)
19:03:38	109025/109025	---M--	200	added ('OK')	image/svg+xml	etag:%221a9e1-5394623e11200%22	https://preview.locotheme.com/grandium-html/assets/fonts/glyphicons-halflings-regular.svg	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/fonts/glyphicons-halflings-regular.svg	(from https://preview.locotheme.com/grandium-html/assets/css/bootstrap.min.css)
19:03:38	70807/70807	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2211497-5394623e11200%22	https://preview.locotheme.com/grandium-html/assets/fonts/fontawesome-webfont.eot?	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/fonts/fontawesome-webfontd41d.eot	(from https://preview.locotheme.com/grandium-html/assets/css/font.awesome.min.css)
19:03:38	66624/66624	---M--	200	added ('OK')	text/html	etag:%2210440-5394623e11200%22	https://preview.locotheme.com/grandium-html/assets/fonts/fontawesome-webfont.woff2?v=4.5.0	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/fonts/fontawesome-webfont3295.html	(from https://preview.locotheme.com/grandium-html/assets/css/font.awesome.min.css)
19:03:39	83588/83588	---M--	200	added ('OK')	application/font-woff	etag:%2214684-5394623e11200%22	https://preview.locotheme.com/grandium-html/assets/fonts/fontawesome-webfont.woff?v=4.5.0	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/fonts/fontawesome-webfont3295.woff	(from https://preview.locotheme.com/grandium-html/assets/css/font.awesome.min.css)
19:03:39	142072/142072	---M--	200	added ('OK')	application/font-sfnt	etag:%2222af8-5394623e11200%22	https://preview.locotheme.com/grandium-html/assets/fonts/fontawesome-webfont.ttf?v=4.5.0	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/fonts/fontawesome-webfont3295.ttf	(from https://preview.locotheme.com/grandium-html/assets/css/font.awesome.min.css)
19:03:40	284/284	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Jun%202020%2018:03:38%20GMT	https://preview.locotheme.com/grandium-html/assets/css/owl.video.play.png	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/css/owl.video.play.3d.delayed	(from https://preview.locotheme.com/grandium-html/assets/css/owl.carousel.css)
19:03:40	366270/366270	---M--	200	added ('OK')	image/svg+xml	etag:%22596be-5394623e11200%22	https://preview.locotheme.com/grandium-html/assets/fonts/fontawesome-webfont.svg?v=4.5.0	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/fonts/fontawesome-webfont3295.svg	(from https://preview.locotheme.com/grandium-html/assets/css/font.awesome.min.css)
19:03:40	4549/4549	---M--	200	added ('OK')	image/png	etag:%2211c5-5394623ff9680%22	https://preview.locotheme.com/grandium-html/assets/img/ui-icons_24324a_256x240.png	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/img/ui-icons_24324a_256x240.png	(from https://preview.locotheme.com/grandium-html/assets/css/jquery-ui.css)
19:03:40	4549/4549	---M--	200	added ('OK')	image/png	etag:%2211c5-5394623ff9680%22	https://preview.locotheme.com/grandium-html/assets/img/ui-icons_d77b5d_256x240.png	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/img/ui-icons_d77b5d_256x240.png	(from https://preview.locotheme.com/grandium-html/assets/css/jquery-ui.css)
19:03:40	6299/6299	---M--	200	added ('OK')	image/png	etag:%22189b-5394623ff9680%22	https://preview.locotheme.com/grandium-html/assets/img/ui-icons_ffffff_256x240.png	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/img/ui-icons_ffffff_256x240.png	(from https://preview.locotheme.com/grandium-html/assets/css/jquery-ui.css)
19:03:41	4549/4549	---M--	200	added ('OK')	image/png	etag:%2211c5-5394623ff9680%22	https://preview.locotheme.com/grandium-html/assets/img/ui-icons_ffd27a_256x240.png	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/img/ui-icons_ffd27a_256x240.png	(from https://preview.locotheme.com/grandium-html/assets/css/jquery-ui.css)
19:03:42	399122/399122	---M--	200	added ('OK')	image/jpeg	etag:%2261712-5394623ff9680%22	https://preview.locotheme.com/grandium-html/assets/img/photo-room-detail-5.jpg	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/img/photo-room-detail-5.jpg	(from https://preview.locotheme.com/grandium-html/rooms-detail.html)
19:03:43	306466/306466	---M--	200	added ('OK')	image/jpeg	etag:%224ad22-5394623e11200%22	https://preview.locotheme.com/grandium-html/assets/img/photo-room-detail-4.jpg	C:/Users/eruog/OneDrive/Documents/Project%20Files/James%20Court%20Hotel/Template3/JamesCourtHotel/preview.locotheme.com/grandium-html/assets/img/photo-room-detail-4.jpg	(from https://preview.locotheme.com/grandium-html/rooms-detail.html)
